S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
146,2023-03-20,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,711.0000,711.0000,711.0000,,13,9243.0000,723.3000,1490.0000,715.0000,2023-03-20T11:24:24.900963,711.0000,1,711.00,
147,2023-03-20,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,897.0000,897.0000,897.0000,,10,8970.0000,880.0000,1760.0000,867.0000,2023-03-20T11:23:47.404361,897.0000,1,897.00,
148,2023-03-20,2809,SHIVM,SHIVAM CEMENTS LTD,430.0000,433.0000,427.0000,,21257,9121366.7000,425.0000,1198.0000,425.0000,2023-03-20T11:34:42.625773,427.0000,85,429.09,
149,2023-03-20,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,7.8400,7.8400,7.8400,,100,784.0000,7.9100,11.3600,7.5900,2023-03-20T11:08:36.894483,7.8400,1,7.84,
150,2023-03-20,2893,AIL,Ajod Insurance Limited,461.0000,470.0000,461.0000,,130,60110.0000,453.0000,768.9000,344.0000,2023-03-20T11:20:34.344003,470.0000,6,462.38,
151,2023-03-20,2903,LEC,Liberty Energy Company Limited,282.0000,289.0000,281.0000,,1300,373786.0000,287.0000,384.0000,203.0000,2023-03-20T11:35:00.265786,289.0000,13,287.52,
152,2023-03-20,2923,SLCF,Sanima Large Cap Fund,7.0600,7.0600,7.0600,,100,706.0000,7.0900,9.5000,6.9000,2023-03-20T11:30:10.343770,7.0600,1,7.06,
153,2023-03-20,8024,NBF3,Nabil Balanced Fund-3,7.3000,7.4000,7.3000,,4765,35126.5000,7.4000,9.4900,7.0800,2023-03-20T11:33:13.379243,7.4000,6,7.37,
154,2023-03-20,8038,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,2350.0000,2350.0000,2350.0000,,25,58750.0000,2349.0000,3770.0000,318.6000,2023-03-20T11:27:47.115611,2350.0000,2,2350.00,
155,2023-03-20,8063,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,1610.0000,1610.0000,1610.0000,,10,16100.0000,1580.2000,3951.4000,1211.0000,2023-03-20T11:24:25.511810,1610.0000,1,1610.00,
156,2023-03-20,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,432.0000,448.0000,432.0000,,590,262736.0000,440.0000,520.0000,310.0000,2023-03-20T11:35:19.881962,440.0000,27,445.31,
157,2023-03-20,8128,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,979.0000,979.0000,979.0000,,10,9790.0000,998.5000,1870.0000,303.2000,2023-03-20T11:14:08.679070,979.0000,1,979.00,
158,2023-03-20,9135,BHPL,Barahi Hydropower Public Limited,521.2000,541.9000,521.2000,,210,111644.0000,521.2000,677.2000,194.3000,2023-03-20T11:29:06.030709,540.0000,11,531.63,
159,2023-03-20,131,NABIL,Nabil Bank Limited,607.0000,613.7000,607.0000,,6189,3779947.2000,606.0000,1080.0000,605.0000,2023-03-20T11:35:28.000897,609.0000,86,610.75,
160,2023-03-20,137,EBL,Everest Bank Limited,505.0000,509.0000,505.0000,,4598,2339324.0000,505.0000,558.9000,411.0000,2023-03-20T11:23:34.385403,509.0000,3,508.76,
161,2023-03-20,155,STC,Salt Trading Corporation,3899.0000,3899.0000,3890.0000,,220,857310.0000,3839.0000,5624.0000,2870.0000,2023-03-20T11:34:11.748920,3898.0000,6,3896.86,
162,2023-03-20,194,NFS,Nepal Finance Ltd.,302.0000,305.0000,302.0000,,1919,583538.0000,298.5000,687.7000,213.3000,2023-03-20T11:34:38.828892,304.4000,15,304.08,
163,2023-03-20,359,SRBL,Sunrise Bank Limited,183.0000,183.0000,181.5000,,542,99123.0000,183.0000,272.0000,177.1000,2023-03-20T11:27:38.797394,181.5000,2,182.88,
164,2023-03-20,418,JBBL,Jyoti Bikas Bank Limited,274.0000,278.0000,274.0000,,386,106471.0000,274.0000,434.0000,248.0000,2023-03-20T11:33:59.304841,276.0000,4,275.83,
